ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Unnamed: 18
10245,34,100.0,9,6120.34,,shipped,2,5,2004,classic cars,s10_1949,super scale inc.,new haven,Usa,murphy,leslie,medium,
10258,32,100.0,6,7680.64,2004-06-15,shipped,2,6,2004,classic cars,s10_1949,"tokyo collectables, ltd",minato-ku,Japan,shimamura,akiko,large,
10270,21,100.0,9,4905.39,2004-07-19,shipped,3,7,2004,classic cars,s10_1949,souveniers and things co.,chatswood,Australia,huxley,adrian,medium,
10280,34,100.0,2,8014.82,2004-08-17,shipped,3,8,2004,classic cars,s10_1949,amica models & co.,torino,Italy,accorti,paolo,large,
10291,37,100.0,11,7136.19,,shipped,3,9,2004,classic cars,s10_1949,scandinavian gift ideas,boras,Sweden,larsson,maria,large,
10304,47,100.0,6,10172.7,,shipped,4,10,2004,classic cars,s10_1949,auto assoc. & cie.,versailles,France,tonini,daniel,large,
10312,48,100.0,3,11623.7,2004-10-21,shipped,4,10,2004,classic cars,s10_1949,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,large,
10322,40,100.0,1,6000.4,,shipped,4,11,2004,classic cars,s10_1949,online diecast creations co.,nashua,Usa,young,valarie,medium,
10333,26,100.0,3,3003.0,2004-11-18,shipped,4,11,2004,classic cars,s10_1949,mini wheels co.,san francisco,Usa,murphy,julie,medium,
10347,30,100.0,1,3944.7,2004-11-29,shipped,4,11,2004,classic cars,s10_1949,"australian collectors, co.",melbourne,Australia,ferguson,peter,medium,
10357,32,100.0,10,5691.84,,shipped,4,12,2004,classic cars,s10_1949,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,medium,
10369,41,100.0,2,4514.92,2005-01-20,shipped,1,1,2005,classic cars,s10_1949,collectables for less inc.,brickhaven,Usa,nelson,allen,medium,
10381,36,100.0,3,8254.8,2005-02-17,shipped,1,2,2005,classic cars,s10_1949,corporate gift ideas co.,san francisco,Usa,brown,julie,large,
10391,24,100.0,4,2416.56,,shipped,1,3,2005,classic cars,s10_1949,"anna's decorations, ltd",north sydney,Australia,o'hara,anna,small,
10411,23,100.0,9,4140.23,,shipped,2,5,2005,classic cars,s10_1949,quebec home shopping network,montreal,Canada,fresnisre,jean,medium,
10424,50,100.0,6,12001.0,2005-05-31,in process,2,5,2005,classic cars,s10_1949,euro shopping channel,madrid,Spain,freyre,diego,large,
10107,39,99.91,5,3896.49,2003-02-24,shipped,1,2,2003,motorcycles,s10_2016,land of toys inc.,nyc,Usa,yu,kwai,medium,
10120,29,96.34,3,2793.86,2003-04-29,shipped,2,4,2003,motorcycles,s10_2016,"australian collectors, co.",melbourne,Australia,ferguson,peter,small,
10134,27,100.0,5,3307.77,,shipped,3,7,2003,motorcycles,s10_2016,lyon souveniers,paris,France,da cunha,daniel,medium,
10145,37,100.0,9,5192.95,2003-08-25,shipped,3,8,2003,motorcycles,s10_2016,toys4grownups.com,pasadena,Usa,young,julie,medium,
10159,37,100.0,17,5016.83,,shipped,4,10,2003,motorcycles,s10_2016,corporate gift ideas co.,san francisco,Usa,brown,julie,medium,
10168,27,100.0,4,3660.93,2003-10-28,shipped,4,10,2003,motorcycles,s10_2016,technics stores inc.,burlingame,Usa,hirano,juri,medium,
10180,42,100.0,12,4695.6,,shipped,4,11,2003,motorcycles,s10_2016,daedalus designs imports,lille,France,rance,martine,medium,
10188,38,96.34,4,3660.92,2003-11-18,shipped,4,11,2003,motorcycles,s10_2016,herkku gifts,bergen,Norway,oeztan,veysel,medium,
10201,24,100.0,5,3025.92,,shipped,4,12,2003,motorcycles,s10_2016,mini wheels co.,san francisco,Usa,murphy,julie,medium,
10210,23,100.0,2,3009.09,,shipped,1,1,2004,motorcycles,s10_2016,osaka souveniers co.,osaka,Japan,kentary,mory,medium,
10223,47,100.0,4,5422.39,2004-02-20,shipped,1,2,2004,motorcycles,s10_2016,"australian collectors, co.",melbourne,Australia,ferguson,peter,medium,
10236,22,100.0,1,2852.08,,shipped,2,4,2004,motorcycles,s10_2016,motor mint distributors inc.,philadelphia,Usa,hernandez,rosa,small,
10251,44,100.0,5,5756.52,2004-05-18,shipped,2,5,2004,motorcycles,s10_2016,tekni collectables inc.,newark,Usa,brown,william,medium,
10263,40,100.0,5,4472.0,2004-06-28,shipped,2,6,2004,motorcycles,s10_2016,gift depot inc.,bridgewater,Usa,king,julie,medium,
10275,22,100.0,4,2904.44,2004-07-23,shipped,3,7,2004,motorcycles,s10_2016,la rochelle gifts,nantes,France,labrune,janine,small,
10285,47,100.0,9,6484.59,2004-08-27,shipped,3,8,2004,motorcycles,s10_2016,marta's replicas co.,cambridge,Usa,hernandez,marta,medium,
10298,39,96.34,1,3757.26,2004-09-27,shipped,3,9,2004,motorcycles,s10_2016,atelier graphique,nantes,France,schmitt,carine,medium,
10308,34,100.0,2,4043.96,2004-10-15,shipped,4,10,2004,motorcycles,s10_2016,mini classics,white plains,Usa,frick,steve,medium,
10318,45,100.0,4,5566.5,,shipped,4,11,2004,motorcycles,s10_2016,diecast classics inc.,allentown,Usa,yu,kyung,medium,
10329,20,100.0,2,3176.0,2004-11-15,shipped,4,11,2004,motorcycles,s10_2016,land of toys inc.,nyc,Usa,yu,kwai,medium,
10339,40,68.92,4,2756.8,2004-11-23,shipped,4,11,2004,motorcycles,s10_2016,"tokyo collectables, ltd",minato-ku,Japan,shimamura,akiko,small,
10361,26,51.15,8,1329.9,2004-12-17,shipped,4,12,2004,motorcycles,s10_2016,souveniers and things co.,chatswood,Australia,huxley,adrian,small,
10374,39,100.0,5,5288.01,,shipped,1,2,2005,motorcycles,s10_2016,"australian gift network, co",south brisbane,Australia,calaghan,tony,medium,
10388,50,44.51,5,2225.5,,shipped,1,3,2005,motorcycles,s10_2016,fungiftideas.com,new bedford,Usa,benitez,violeta,small,
10402,45,100.0,1,5833.8,,shipped,2,4,2005,motorcycles,s10_2016,auto canal petit,paris,France,perrier,dominique,medium,
10417,45,100.0,5,5887.35,2005-05-13,disputed,2,5,2005,motorcycles,s10_2016,euro shopping channel,madrid,Spain,freyre,diego,medium,
10107,27,100.0,4,6065.55,2003-02-24,shipped,1,2,2003,motorcycles,s10_4698,land of toys inc.,nyc,Usa,yu,kwai,medium,
10120,46,100.0,2,9264.86,2003-04-29,shipped,2,4,2003,motorcycles,s10_4698,"australian collectors, co.",melbourne,Australia,ferguson,peter,large,
10134,31,100.0,4,7023.98,,shipped,3,7,2003,motorcycles,s10_4698,lyon souveniers,paris,France,da cunha,daniel,large,
10145,33,100.0,8,5176.38,2003-08-25,shipped,3,8,2003,motorcycles,s10_4698,toys4grownups.com,pasadena,Usa,young,julie,medium,
10159,22,100.0,16,4132.7,,shipped,4,10,2003,motorcycles,s10_4698,corporate gift ideas co.,san francisco,Usa,brown,julie,medium,
10168,20,100.0,3,4183.0,2003-10-28,shipped,4,10,2003,motorcycles,s10_4698,technics stores inc.,burlingame,Usa,hirano,juri,medium,
10180,41,100.0,11,8892.9,,shipped,4,11,2003,motorcycles,s10_4698,daedalus designs imports,lille,France,rance,martine,large,
10188,45,100.0,3,8714.7,2003-11-18,shipped,4,11,2003,motorcycles,s10_4698,herkku gifts,bergen,Norway,oeztan,veysel,large,
10201,49,100.0,4,8065.89,,shipped,4,12,2003,motorcycles,s10_4698,mini wheels co.,san francisco,Usa,murphy,julie,large,
10210,34,100.0,1,6123.4,,shipped,1,1,2004,motorcycles,s10_4698,osaka souveniers co.,osaka,Japan,kentary,mory,medium,
10223,49,100.0,3,9774.03,2004-02-20,shipped,1,2,2004,motorcycles,s10_4698,"australian collectors, co.",melbourne,Australia,ferguson,peter,large,
10237,39,100.0,9,7023.9,,shipped,2,4,2004,motorcycles,s10_4698,vitachrome inc.,nyc,Usa,frick,michael,large,
10251,43,100.0,4,7078.23,2004-05-18,shipped,2,5,2004,motorcycles,s10_4698,tekni collectables inc.,newark,Usa,brown,william,large,
10263,41,100.0,4,8336.94,2004-06-28,shipped,2,6,2004,motorcycles,s10_4698,gift depot inc.,bridgewater,Usa,king,julie,large,
10275,36,100.0,3,6901.92,2004-07-23,shipped,3,7,2004,motorcycles,s10_4698,la rochelle gifts,nantes,France,labrune,janine,medium,
10285,27,100.0,8,5438.07,2004-08-27,shipped,3,8,2004,motorcycles,s10_4698,marta's replicas co.,cambridge,Usa,hernandez,marta,medium,
10299,29,100.0,11,6683.34,2004-09-30,shipped,3,9,2004,motorcycles,s10_4698,"toys of finland, co.",helsinki,Finland,karttunen,matti,medium,
10308,20,100.0,1,4570.4,2004-10-15,shipped,4,10,2004,motorcycles,s10_4698,mini classics,white plains,Usa,frick,steve,medium,
10318,37,100.0,3,7667.14,,shipped,4,11,2004,motorcycles,s10_4698,diecast classics inc.,allentown,Usa,yu,kyung,large,
10329,26,100.0,3,5868.2,2004-11-15,shipped,4,11,2004,motorcycles,s10_4698,land of toys inc.,nyc,Usa,yu,kwai,medium,
10339,39,76.67,3,2990.13,2004-11-23,shipped,4,11,2004,motorcycles,s10_4698,"tokyo collectables, ltd",minato-ku,Japan,shimamura,akiko,small,
10362,22,100.0,4,3664.1,,shipped,1,1,2005,motorcycles,s10_4698,technics stores inc.,burlingame,Usa,hirano,juri,medium,
10374,22,100.0,1,3834.38,,shipped,1,2,2005,motorcycles,s10_4698,"australian gift network, co",south brisbane,Australia,calaghan,tony,medium,
10388,21,86.77,7,1822.17,,shipped,1,3,2005,motorcycles,s10_4698,fungiftideas.com,new bedford,Usa,benitez,violeta,small,
10403,66,100.0,9,11886.6,,shipped,2,4,2005,motorcycles,s10_4698,"uk collectables, ltd.",liverpool,Uk,devon,elizabeth,large,
10417,56,100.0,4,9218.16,2005-05-13,disputed,2,5,2005,motorcycles,s10_4698,euro shopping channel,madrid,Spain,freyre,diego,large,
10105,50,100.0,2,7208.0,,shipped,1,2,2003,classic cars,s10_4757,danish wholesale imports,kobenhavn,Denmark,petersen,jytte,large,
10119,46,100.0,11,5004.8,2003-04-28,shipped,2,4,2003,classic cars,s10_4757,salzburg collectables,salzburg,Austria,pipps,georg,medium,
10129,33,100.0,2,4398.24,,shipped,2,6,2003,classic cars,s10_4757,"stylish desk decors, co.",london,Uk,brown,ann,medium,
10143,49,100.0,15,5597.76,,shipped,3,8,2003,classic cars,s10_4757,mini creations ltd.,new bedford,Usa,tam,wing c,medium,
10155,32,100.0,13,4526.08,,shipped,4,10,2003,classic cars,s10_4757,"toys of finland, co.",helsinki,Finland,karttunen,matti,medium,
10167,44,100.0,9,5924.16,2003-10-23,cancelled,4,10,2003,classic cars,s10_4757,scandinavian gift ideas,boras,Sweden,larsson,maria,medium,
10178,24,100.0,12,3492.48,,shipped,4,11,2003,classic cars,s10_4757,alpha cognac,toulouse,France,roulet,annette,medium,
10186,26,100.0,9,3854.24,2003-11-14,shipped,4,11,2003,classic cars,s10_4757,"double decker gift stores, ltd",london,Uk,hardy,thomas,medium,
10197,45,100.0,6,5324.4,2003-11-26,shipped,4,11,2003,classic cars,s10_4757,enaco distributors,barcelona,Spain,saavedra,eduardo,medium,
10209,39,100.0,8,5197.92,,shipped,1,1,2004,classic cars,s10_4757,"men 'r' us retailers, ltd.",los angeles,Usa,chandler,michael,medium,
10222,49,100.0,12,5997.6,2004-02-19,shipped,1,2,2004,classic cars,s10_4757,collectable mini designs co.,san diego,Usa,thompson,valarie,medium,
10248,20,100.0,3,2910.4,,cancelled,2,5,2004,classic cars,s10_4757,land of toys inc.,nyc,Usa,yu,kwai,small,
10261,27,100.0,1,3378.24,2004-06-17,shipped,2,6,2004,classic cars,s10_4757,quebec home shopping network,montreal,Canada,fresnisre,jean,medium,
10273,30,100.0,4,3508.8,2004-07-21,shipped,3,7,2004,classic cars,s10_4757,petit auto,bruxelles,Belgium,dewey,catherine,medium,
10283,25,100.0,6,2992.0,2004-08-20,shipped,3,8,2004,classic cars,s10_4757,"royal canadian collectables, ltd.",tsawassen,Canada,lincoln,elizabeth,small,
10295,24,100.0,1,3427.2,,shipped,3,9,2004,classic cars,s10_4757,gifts4allages.com,boston,Usa,yoshido,juri,medium,
10307,22,100.0,9,2692.8,2004-10-14,shipped,4,10,2004,classic cars,s10_4757,"classic gift ideas, inc",philadelphia,Usa,cervantes,francisca,small,
10316,33,100.0,17,4128.96,,shipped,4,11,2004,classic cars,s10_4757,giftsbymail.co.uk,cowes,Uk,bennett,helen,medium,
10325,47,64.93,6,3051.71,,shipped,4,11,2004,classic cars,s10_4757,baane mini imports,stavern,Norway,bergulfsen,jonas,medium,
10337,25,48.05,8,1201.25,2004-11-21,shipped,4,11,2004,classic cars,s10_4757,classic legends inc.,nyc,Usa,hernandez,maria,small,
10350,26,75.47,5,1962.22,,shipped,4,12,2004,classic cars,s10_4757,euro shopping channel,madrid,Spain,freyre,diego,small,
10359,48,54.68,6,2624.64,2004-12-15,shipped,4,12,2004,classic cars,s10_4757,reims collectables,reims,France,henriot,paul,small,
10373,39,100.0,3,4046.25,2005-01-31,shipped,1,1,2005,classic cars,s10_4757,"oulu toy supplies, inc.",oulu,Finland,koskitalo,pirkko,medium,
10384,34,100.0,4,4846.7,2005-02-23,shipped,1,2,2005,classic cars,s10_4757,corporate gift ideas co.,san francisco,Usa,brown,julie,medium,
10395,32,100.0,2,3370.56,2005-03-17,shipped,1,3,2005,classic cars,s10_4757,lyon souveniers,paris,France,da cunha,daniel,medium,
10400,64,100.0,9,9661.44,,shipped,2,4,2005,classic cars,s10_4757,the sharp gifts warehouse,san jose,Usa,frick,sue,large,
10414,19,100.0,3,2764.88,,on hold,2,5,2005,classic cars,s10_4757,gifts4allages.com,boston,Usa,yoshido,juri,small,
10103,42,100.0,4,5398.26,2003-01-29,shipped,1,1,2003,classic cars,s10_4962,baane mini imports,stavern,Norway,bergulfsen,jonas,medium,
10114,31,100.0,8,4305.28,,shipped,2,4,2003,classic cars,s10_4962,"la corne d'abondance, co.",paris,France,bertrand,marie,medium,
10126,22,100.0,4,3347.74,2003-05-28,shipped,2,5,2003,classic cars,s10_4962,"corrida auto replicas, ltd",madrid,Spain,sommer,mart¡n,medium,
10140,26,100.0,4,3188.12,2003-07-24,shipped,3,7,2003,classic cars,s10_4962,technics stores inc.,burlingame,Usa,hirano,juri,medium,
10150,20,100.0,1,3191.2,2003-09-19,shipped,3,9,2003,classic cars,s10_4962,"dragon souveniers, ltd.",singapore,Singapore,natividad,eric,medium,
10164,21,100.0,2,3536.82,2003-10-21,resolved,4,10,2003,classic cars,s10_4962,mini auto werke,graz,Austria,mendel,roland,medium,
10175,33,100.0,9,5362.83,,shipped,4,11,2003,classic cars,s10_4962,"stylish desk decors, co.",london,Uk,brown,ann,medium,
10183,28,100.0,1,3433.36,2003-11-13,shipped,4,11,2003,classic cars,s10_4962,"classic gift ideas, inc",philadelphia,Usa,cervantes,francisca,medium,
10194,26,100.0,4,4263.74,2003-11-25,shipped,4,11,2003,classic cars,s10_4962,"saveley & henriot, co.",lyon,France,saveley,mary,medium,
10207,31,100.0,15,4076.19,,shipped,4,12,2003,classic cars,s10_4962,diecast collectables,boston,Usa,franco,valarie,medium,
10217,48,100.0,4,7020.48,,shipped,1,2,2004,classic cars,s10_4962,handji gifts& co,singapore,Singapore,victorino,wendy,large,
10229,50,100.0,9,6426.5,,shipped,1,3,2004,classic cars,s10_4962,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,medium,
10245,28,100.0,2,4591.72,,shipped,2,5,2004,classic cars,s10_4962,super scale inc.,new haven,Usa,murphy,leslie,medium,
10259,26,100.0,12,4033.38,2004-06-15,shipped,2,6,2004,classic cars,s10_4962,handji gifts& co,singapore,Singapore,victorino,wendy,medium,
10270,32,100.0,2,4302.08,2004-07-19,shipped,3,7,2004,classic cars,s10_4962,souveniers and things co.,chatswood,Australia,huxley,adrian,medium,
10281,44,100.0,9,7020.64,2004-08-19,shipped,3,8,2004,classic cars,s10_4962,diecast classics inc.,allentown,Usa,yu,kyung,large,
10291,30,100.0,4,3855.9,,shipped,3,9,2004,classic cars,s10_4962,scandinavian gift ideas,boras,Sweden,larsson,maria,medium,
10305,38,100.0,13,6680.78,2004-10-13,shipped,4,10,2004,classic cars,s10_4962,marta's replicas co.,cambridge,Usa,hernandez,marta,medium,
10313,40,100.0,7,6678.0,2004-10-22,shipped,4,10,2004,classic cars,s10_4962,canadian gift exchange network,vancouver,Canada,tannamuri,yoshi,medium,
10322,46,61.99,8,2851.54,,shipped,4,11,2004,classic cars,s10_4962,online diecast creations co.,nashua,Usa,young,valarie,small,
10334,26,100.0,2,3188.12,2004-11-19,on hold,4,11,2004,classic cars,s10_4962,"volvo model replicas, co",lule,Sweden,berglund,christina,medium,
10347,27,100.0,2,4428.0,2004-11-29,shipped,4,11,2004,classic cars,s10_4962,"australian collectors, co.",melbourne,Australia,ferguson,peter,medium,
10357,43,100.0,9,5780.92,,shipped,4,12,2004,classic cars,s10_4962,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,medium,
10370,35,65.63,4,2297.05,2005-01-20,shipped,1,1,2005,classic cars,s10_4962,"anna's decorations, ltd",north sydney,Australia,o'hara,anna,small,
10381,37,100.0,6,6231.54,2005-02-17,shipped,1,2,2005,classic cars,s10_4962,corporate gift ideas co.,san francisco,Usa,brown,julie,medium,
10391,37,46.9,7,1735.3,,shipped,1,3,2005,classic cars,s10_4962,"anna's decorations, ltd",north sydney,Australia,o'hara,anna,small,
10411,27,100.0,2,4427.73,,shipped,2,5,2005,classic cars,s10_4962,quebec home shopping network,montreal,Canada,fresnisre,jean,medium,
10425,38,100.0,12,5894.94,2005-05-31,in process,2,5,2005,classic cars,s10_4962,la rochelle gifts,nantes,France,labrune,janine,medium,
10108,33,100.0,6,5265.15,,shipped,1,3,2003,classic cars,s12_1099,cruz & sons co.,makati city,Philippines,cruz,arnold,medium,
10122,42,100.0,10,7599.9,,shipped,2,5,2003,classic cars,s12_1099,marseille mini autos,marseille,France,lebihan,laurence,large,
10135,42,100.0,7,8008.56,,shipped,3,7,2003,classic cars,s12_1099,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,large,
10147,48,100.0,7,9245.76,,shipped,3,9,2003,classic cars,s12_1099,collectables for less inc.,brickhaven,Usa,nelson,allen,large,
10159,41,100.0,2,8296.35,,shipped,4,10,2003,classic cars,s12_1099,corporate gift ideas co.,san francisco,Usa,brown,julie,large,
10169,30,100.0,2,5019.9,,shipped,4,11,2003,classic cars,s12_1099,"anna's decorations, ltd",north sydney,Australia,o'hara,anna,medium,
10181,27,100.0,14,5411.07,,shipped,4,11,2003,classic cars,s12_1099,herkku gifts,bergen,Norway,oeztan,veysel,medium,
10191,21,100.0,3,3840.9,2003-11-20,shipped,4,11,2003,classic cars,s12_1099,"toms spezialitten, ltd",koln,Germany,pfalzheim,henriette,medium,
10203,20,100.0,8,3930.4,,shipped,4,12,2003,classic cars,s12_1099,euro shopping channel,madrid,Spain,freyre,diego,medium,
10211,41,100.0,2,7498.9,2004-01-15,shipped,1,1,2004,classic cars,s12_1099,auto canal petit,paris,France,perrier,dominique,large,
10225,27,100.0,9,4517.91,2004-02-22,shipped,1,2,2004,classic cars,s12_1099,"vida sport, ltd",gensve,Switzerland,holz,michael,medium,
10238,28,100.0,3,5774.72,,shipped,2,4,2004,classic cars,s12_1099,danish wholesale imports,kobenhavn,Denmark,petersen,jytte,medium,
10253,24,100.0,13,3922.56,,cancelled,2,6,2004,classic cars,s12_1099,"uk collectables, ltd.",liverpool,Uk,devon,elizabeth,medium,
10266,44,100.0,14,9160.36,,shipped,3,7,2004,classic cars,s12_1099,l'ordine souveniers,reggio emilia,Italy,moroni,maurizio,large,
10276,50,100.0,3,9631.0,,shipped,3,8,2004,classic cars,s12_1099,online mini collectables,brickhaven,Usa,barajas,miguel,large,
10287,21,100.0,12,3432.24,2004-08-30,shipped,3,8,2004,classic cars,s12_1099,"vida sport, ltd",gensve,Switzerland,holz,michael,medium,
10300,33,100.0,5,5521.89,,shipped,4,10,2003,classic cars,s12_1099,"blauer see auto, co.",frankfurt,Germany,keitel,roland,medium,
10310,33,100.0,10,6934.62,2004-10-16,shipped,4,10,2004,classic cars,s12_1099,"toms spezialitten, ltd",koln,Germany,pfalzheim,henriette,medium,
10320,31,100.0,3,6876.11,,shipped,4,11,2004,classic cars,s12_1099,"volvo model replicas, co",lule,Sweden,berglund,christina,medium,
10329,41,71.47,5,2930.27,2004-11-15,shipped,4,11,2004,classic cars,s12_1099,land of toys inc.,nyc,Usa,yu,kwai,small,
10341,45,79.65,2,3584.25,2004-11-24,shipped,4,11,2004,classic cars,s12_1099,salzburg collectables,salzburg,Austria,pipps,georg,medium,
10363,33,85.39,3,2817.87,,shipped,1,1,2005,classic cars,s12_1099,suominen souveniers,espoo,Finland,suominen,kalle,small,
10375,45,76.0,7,3420.0,,shipped,1,2,2005,classic cars,s12_1099,la rochelle gifts,nantes,France,labrune,janine,medium,
10389,26,99.04,4,2575.04,,shipped,1,3,2005,classic cars,s12_1099,scandinavian gift ideas,boras,Sweden,larsson,maria,small,
10419,12,100.0,13,1961.28,2005-05-17,shipped,2,5,2005,classic cars,s12_1099,salzburg collectables,salzburg,Austria,pipps,georg,small,
10105,41,100.0,15,8690.36,,shipped,1,2,2003,classic cars,s12_1108,danish wholesale imports,kobenhavn,Denmark,petersen,jytte,large,
10117,33,100.0,9,6034.38,2003-04-16,shipped,2,4,2003,classic cars,s12_1108,"dragon souveniers, ltd.",singapore,Singapore,natividad,eric,medium,
10127,46,100.0,2,11279.2,,shipped,2,6,2003,classic cars,s12_1108,muscle machine inc,nyc,Usa,young,jeff,large,
10142,33,100.0,12,8023.29,,shipped,3,8,2003,classic cars,s12_1108,mini gifts distributors ltd.,san rafael,Usa,nelson,valarie,large,
